sample,site,population
NSW1016972,Big_Scrub Loop2,1
NSW1016923,Big_Scrub Loop2,1
NSW1037811,Terania_Creek,1
NSW1088219,Terania_Creek,1
NSW1088205,Terania_Creek,1
NSW1088239,Terania_Creek,1
NSW1088244,Terania_Creek,1
NSW1037725,Gibbergunyah Nightcap Tk,1
NSW1037700,Gibbergunyah Nightcap Tk,1
NSW1037703,Gibbergunyah Nightcap Tk,1
NSW1037717,Gibbergunyah Nightcap Tk,1
NSW1037721,Gibbergunyah Nightcap Tk,1
NSW1086112,Gibbergunyah Nightcap Tk,1
NSW1086122,Gibbergunyah Nightcap Tk,1
NSW1086127,Gibbergunyah Nightcap Tk,1
NSW1088658,Gibbergunyah Nightcap Tk,1
NSW1088663,Gibbergunyah Nightcap Tk,1
NSW1088668,Gibbergunyah Nightcap Tk,1
NSW1088772,Koonyum_Range,1
NSW1088924,Koonyum_Range,1
NSW1088929,Koonyum_Range,1
NSW1088928,Koonyum_Range,1
NSW1088930,Koonyum_Range,1
NSW1088926,Koonyum_Range,1
NSW1037818,Mt_Nardi,1
NSW1037837,Mt_Nardi,1
NSW1037838,Mt_Nardi,1
NSW1037839,Mt_Nardi,1
NSW1037844,Mt_Nardi,1
NSW1037860,Mt_Nardi,1
NSW1037861,Mt_Nardi,1
NSW1037891,Mt_Nardi,1
NSW1037892,Mt_Nardi,1
NSW1037894,Mt_Nardi,1
NSW1037895,Mt_Nardi,1
NSW1088960,Mt_Jerusalem,1
NSW1088961,Mt_Jerusalem,1
NSW1088966,Mt_Jerusalem,1
NSW1088967,Mt_Jerusalem,1
NSW1088968,Mt_Jerusalem,1
NSW1016870,Blackbutt,1
NSW1017035,Blackbutt,1
NSW1017054,Blackbutt,1
NSW1016855,Blackbutt,1
NSW1017134,Airdrop_Rd,1
NSW1017129,Airdrop_Rd,1
NSW1014554,Airdrop_Rd,1
NSW1017109,Airdrop_Rd,1
NSW1017104,Airdrop_Rd,1
NSW1017114,Airdrop_Rd,1
NSW1082373,Mt_Nothofagus,1
NSW1082374,Mt_Nothofagus,1
NSW1087534,Mt_Nothofagus,1
NSW1087580,Mt_Nothofagus,1
NSW1086068,Mt_Nothofagus,1
NSW1092083,Best_of_All_Lookout,1
NSW1092086,Best_of_All_Lookout,1
NSW1092087,Best_of_All_Lookout,1
NSW1092089,Best_of_All_Lookout,1
NSW1092091,Best_of_All_Lookout,1
NSW1045603,Lamington_NP,1
NSW1045557,Lamington_NP,1
NSW1045476,Lamington_NP,1
NSW1045735,Lamington_NP,1
NSW1045601,Lamington_NP,1
NSW1045602,Lamington_NP,1
NSW1146182,Binna_Burra,1
NSW1146183,Binna_Burra,1
NSW1146185,Binna_Burra,1
NSW1146188,Binna_Burra,1
NSW1146190,Binna_Burra,1
NSW1146192,Binna_Burra,1
NSW1087634,Mary_Cairncross,1
NSW1088088,Mary_Cairncross,1
NSW1088103,Mary_Cairncross,1
NSW1088148,Mary_Cairncross,1
NSW1087649,Mary_Cairncross,1
NSW1087553,Mary_Cairncross,1
